RANK	TITLE									SCORE	MEMBERS
202	Chobits									7.52	327,383
203	Monogatari Series: Second Season					8.77	326,145
204	Sankarea								7.48	322,930
205	Gosick									8.19	322,348
206	Monster Musume no Iru Nichijou						7.28	322,223
207	Dragon Ball GT								6.66	321,965
208	Shingeki no Kyojin Season 3						8.59	321,261
209	Chuunibyou demo Koi ga Shitai! Ren					7.60	321,164
210	Masamune-kun no Revenge							7.02	320,587
211	Suzumiya Haruhi no Yuuutsu (2009)					7.26	320,387
212	Beelzebub								8.02	319,670
213	Zero no Tsukaima: Futatsuki no Kishi					7.65	318,729
214	Sakamoto desu ga?							7.67	318,674
215	Eureka Seven								8.14	318,548
216	Neon Genesis Evangelion: The End of Evangelion				8.49	317,781
217	Kenpuu Denki Berserk							8.46	315,248
218	Lovely★Complex								8.17	315,028
219	Summer Wars								8.21	314,543
220	Ore Monogatari!!							8.06	313,967
221	Pokemon									7.42	312,614
222	Kuroshitsuji II								7.46	311,939
223	Kakegurui								7.54	311,831
224	Serial Experiments Lain							8.00	309,918
225	Toaru Kagaku no Railgun							7.82	308,751
226	Orange									7.71	307,955
227	Kuroko no Basket 3rd Season						8.52	307,842
228	Kiss x Sis (TV)								6.94	306,479
229	Boku wa Tomodachi ga Sukunai Next					7.57	306,012
230	Sora no Otoshimono							7.55	305,475
231	Steins;Gate Movie: Fuka Ryouiki no Déjà vu				8.57	303,540
232	Yuri!!! on Ice								8.15	303,310
233	Katanagatari								8.43	302,837
234	Nisekoi:								7.49	302,765
235	Fruits Basket								7.77	302,250
236	Gangsta.								7.46	301,738
237	Steins;Gate 0								8.71	299,973
238	Natsume Yuujinchou							8.39	299,762
239	Inu x Boku SS								7.62	296,711
240	God Eater								7.48	296,335
241	Shinmai Maou no Testament						7.05	296,232
242	Ajin									7.66	296,030
243	Seitokai Yakuindomo							7.67	295,785
244	Gakusen Toshi Asterisk							7.11	295,478
245	Tokyo Ghoul:re								7.40	294,854
246	Himouto! Umaru-chan							7.38	294,677
247	Overlord II								7.98	293,407
248	Grisaia no Kajitsu							7.67	293,122
249	Shokugeki no Souma: San no Sara						8.47	292,519
250	Yuu☆Yuu☆Hakusho								8.48	292,230
251	Pandora Hearts								7.84	291,710
252	Ao no Exorcist: Kyoto Fujouou-hen					7.67	291,138
253	Ookami to Koushinryou II						8.42	289,154
254	Youjo Senki								8.13	287,680
255	Rurouni Kenshin: Meiji Kenkaku Romantan					8.39	287,518
256	Date A Live II								7.44	287,164
257	Ichiban Ushiro no Daimaou						7.12	287,067
258	Zero no Tsukaima: Princesses no Rondo					7.55	284,061
259	Nanatsu no Taizai: Imashime no Fukkatsu					8.31	283,908
260	Usagi Drop								8.51	283,457
261	Darker than Black: Ryuusei no Gemini					7.56	283,148
262	Kaze no Stigma								7.42	282,220
263	Eromanga-sensei								6.85	282,123
264	Saenai Heroine no Sodatekata						7.64	281,966
265	Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou		8.98	281,914
266	Higurashi no Naku Koro ni Kai						8.33	281,849
267	Kamisama Hajimemashita							8.13	281,754
268	Hentai Ouji to Warawanai Neko.						7.38	281,691
269	Mekakucity Actors							7.18	281,070
270	Absolute Duo								6.74	279,658
271	Mayo Chiki!								7.46	278,842
272	Dragon Ball Super							7.73	277,951
273	Durarara!!x2 Shou							8.10	276,081
274	91 Days									7.88	275,774
275	Nana									8.50	275,267
276	No Game No Life: Zero							8.66	275,077
277	Akagami no Shirayuki-hime						7.91	274,717
278	Black Lagoon: The Second Barrage					8.26	273,349
279	Black Clover								6.76	272,483
280	Nekomonogatari: Kuro							8.04	272,367
281	Ore no Imouto ga Konnani Kawaii Wake ga Nai.				7.27	272,232
282	Musaigen no Phantom World						7.00	269,665
283	Rokudenashi Majutsu Koushi to Akashic Records				7.36	269,294
284	Kuzu no Honkai								7.55	269,103
285	Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season			7.90	269,061
286	One Punch Man 2								N/A	268,879
287	Rosario to Vampire Capu2						7.16	265,358
288	Working!!								7.78	264,504
289	Little Witch Academia (TV)						8.11	264,069
290	Hotaru no Haka								8.55	263,250
291	Sword Art Online Movie: Ordinal Scale					8.02	262,637
292	Ghost in the Shell: Stand Alone Complex					8.46	262,384
293	Evangelion: 1.0 You Are (Not) Alone					8.15	261,195
294	Drifters								8.04	260,770
295	Tokyo Ravens								7.71	260,162
296	Blood+									7.75	259,785
297	Tsurezure Children							7.87	259,562
298	B-gata H-kei								7.09	255,029
299	JoJo no Kimyou na Bouken: Stardust Crusaders				8.24	254,911
300	Gamers!									7.22	254,411
301	Black★Rock Shooter (TV)							6.98	254,001
302	Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama ...	7.44	253,615
303	Kami nomi zo Shiru Sekai II						8.06	253,034
304	Toaru Majutsu no Index II						7.78	251,822
305	Sekirei									7.31	249,483
306	Evangelion: 2.0 You Can (Not) Advance					8.43	248,443
307	Love Live! School Idol Project						7.60	248,380
308	Yosuga no Sora: In Solitude, Where We Are Least Alone.			6.56	248,176
309	Netoge no Yome wa Onnanoko ja Nai to Omotta?				7.06	247,938
310	Cardcaptor Sakura							8.21	247,935
311	Kore wa Zombie Desu ka? of the Dead					7.70	247,767
312	Ore no Kanojo to Osananajimi ga Shuraba Sugiru				7.26	246,878
313	Dakara Boku wa, H ga Dekinai.						6.85	246,736
314	Zero no Tsukaima F							7.70	246,453
315	Shingeki no Bahamut: Genesis						7.75	246,115
316	Paprika									8.11	245,045
317	Hajime no Ippo								8.79	245,026
318	Baka to Test to Shoukanjuu Ni!						7.90	244,967
319	Boruto: Naruto Next Generations						6.97	244,726
320	Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e				7.93	244,385
321	Hunter x Hunter								8.47	244,312
322	Air Gear								7.63	243,367
323	Digimon Adventure							7.87	243,101
324	Vampire Knight: Guilty							7.44	242,245
325	Kara no Kyoukai 1: Fukan Fuukei						7.73	241,376
326	Maoyuu Maou Yuusha							7.42	241,042
327	Shirobako								8.43	240,347
328	Sousei no Onmyouji							7.42	238,029
329	Steins;Gate: Oukoubakko no Poriomania					8.43	237,453
330	Tasogare Otome x Amnesia						7.93	236,575
331	Hidan no Aria								7.06	236,002
332	Re:Creators								7.67	235,373
333	Hitsugi no Chaika							7.40	235,279
334	Kimi ni Todoke 2nd Season						8.11	234,989
335	Dagashi Kashi								6.70	233,679
336	D-Frag!									7.69	231,933
337	No.6									7.71	231,183
338	Gintama&amp;#039;							9.10	229,400
339	Majo no Takkyuubin							8.29	229,338
340	Hagure Yuusha no Aesthetica						7.14	229,233
341	Gakkougurashi!								7.69	229,104
342	Ano Natsu de Matteru							7.63	229,071
343	Fullmetal Alchemist: The Conqueror of Shamballa				7.68	228,741
344	Jigoku Shoujo								7.74	227,617
345	Shakugan no Shana II (Second)						7.71	227,127
346	Suisei no Gargantia							7.59	226,783
347	Inuyashiki								7.86	226,193
348	Bokura wa Minna Kawai-sou						7.82	225,965
349	Devilman: Crybaby							7.98	225,869
350	Special A								7.71	225,725
351	Chihayafuru								8.28	225,665
352	Arslan Senki (TV)							7.81	224,549
353	Shaman King								7.83	224,279
354	Bungou Stray Dogs 2nd Season						8.31	224,169
355	Ookami Shoujo to Kuro Ouji						7.40	222,735
356	School Rumble								8.02	221,870
357	Sayonara Zetsubou Sensei						7.97	221,730
358	ChäoS;HEAd								6.50	221,525
359	Inou-Battle wa Nichijou-kei no Naka de					7.28	221,275
360	Air									7.41	221,047
361	Gantz									7.18	220,589
362	Arakawa Under the Bridge						7.66	220,455
363	3-gatsu no Lion								8.44	219,389
364	Gokukoku no Brynhildr							7.04	219,181
365	JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season			8.56	218,688
366	Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou			7.27	218,113
367	Panty &amp;amp; Stocking with Garterbelt				7.77	217,745
368	New Game!								7.73	217,371
369	Gintama°								9.14	217,320
370	Tenkuu no Shiro Laputa							8.38	217,151
371	Hibike! Euphonium							8.02	217,093
372	Wolf&amp;#039;s Rain							7.89	216,773
373	Haiyore! Nyaruko-san							7.19	215,763
374	Blend S									7.57	213,841
375	Amagami SS								7.50	212,884
376	IS: Infinite Stratos 2							6.78	212,728
377	Kizumonogatari I: Tekketsu-hen						8.43	212,469
378	Gake no Ue no Ponyo							7.93	212,440
379	Bakuman. 2nd Season							8.48	211,872
380	Freezing								7.09	211,783
381	Seto no Hanayome							7.88	211,685
382	Full Metal Panic? Fumoffu						8.15	211,446
383	Free!: Eternal Summer							7.85	211,079
384	Net-juu no Susume							7.83	210,924
385	JoJo no Kimyou na Bouken: Diamond wa Kudakenai				8.64	210,830
386	Phantom: Requiem for the Phantom					8.10	210,702
387	Owarimonogatari								8.45	210,599
388	Yuru Yuri								7.67	210,574
389	Azumanga Daioh								8.03	210,414
390	Devil May Cry								7.10	210,269
391	Rainbow: Nisha Rokubou no Shichinin					8.58	209,025
392	Durarara!!x2 Ten							8.09	208,930
393	Aldnoah.Zero 2nd Season							7.10	208,669
394	Nodame Cantabile							8.40	206,966
395	Hanamonogatari								8.07	205,378
396	Ben-To									7.41	204,635
397	Sword Art Online Alternative: Gun Gale Online				7.32	204,606
398	Non Non Biyori								8.00	204,412
399	Hanasaku Iroha								8.00	204,407
400	C: The Money of Soul and Possibility Control				7.36	203,523
401	Sakamichi no Apollon							8.43	203,089
402	Nanatsu no Taizai: Seisen no Shirushi					7.42	202,760
403	Mikakunin de Shinkoukei							7.54	202,592
404	Mirai Nikki: Redial							7.60	201,638
405	Clannad: Mou Hitotsu no Sekai, Tomoyo-hen				8.09	200,565
406	Seikon no Qwaser							6.69	200,529
407	Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari		8.46	200,470
408	To LOVE-Ru Darkness							7.69	200,290
409	Kami nomi zo Shiru Sekai: Megami-hen					8.21	200,089
410	Demi-chan wa Kataritai							7.75	199,530
411	Outbreak Company							7.47	199,278
412	Mawaru Penguindrum							8.02	198,849
413	Denpa Onna to Seishun Otoko						7.26	198,657
414	Perfect Blue								8.34	198,502
415	Shuffle!								7.22	198,212
416	Kaze no Tani no Nausicaä						8.46	197,830
417	Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen			8.38	197,582
418	Yojouhan Shinwa Taikei							8.65	197,392
419	Machine-Doll wa Kizutsukanai						7.31	197,231
420	Gabriel DropOut								7.58	196,644
421	Seireitsukai no Blade Dance						7.07	196,384
422	Grisaia no Rakuen							8.03	196,073
423	Durarara!!x2 Ketsu							8.18	195,253
424	Little Witch Academia							7.95	195,188
425	Sora no Otoshimono: Forte						7.73	195,172
426	Tsukimonogatari								8.19	195,112
427	Kanon (2006)								8.09	195,009
428	Yu☆Gi☆Oh! Duel Monsters							7.57	194,884
429	Fate/Apocrypha								7.18	194,547
430	Mousou Dairinin								7.73	194,314
431	Isshuukan Friends.							7.65	193,983
432	Jormungand								7.92	193,977
433	Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou	6.96	193,923
434	Wotaku ni Koi wa Muzukashii						8.07	193,524
435	Bakuman. 3rd Season							8.66	192,979
436	Beck									8.37	192,741
437	xxxHOLiC								8.08	192,218
438	Full Metal Panic! The Second Raid					8.03	191,979
439	Dimension W								7.30	191,690
440	Tales of Zestiria the X							7.46	191,548
441	Danna ga Nani wo Itteiru ka Wakaranai Ken				7.50	191,377
442	Tsuki ga Kirei								8.32	191,151
443	Bishoujo Senshi Sailor Moon						7.73	190,979
444	Keijo!!!!!!!!								7.28	190,836
445	Cowboy Bebop: Tengoku no Tobira						8.41	190,672
446	Ookami-san to Shichinin no Nakama-tachi					7.32	190,584
447	Gakusen Toshi Asterisk 2nd Season					7.30	190,558
448	Toaru Kagaku no Railgun S						8.11	190,186
449	Code:Breaker								6.96	188,935
450	Kuroshitsuji: Book of Circus						8.32	188,587
451	Motto To LOVE-Ru							7.51	188,547
452	Love Hina								7.23	188,178
453	Black Cat								7.48	188,062
454	Kämpfer									6.63	188,016
455	Oda Nobuna no Yabou							7.61	187,552
456	Shingeki no Kyojin OVA							7.88	187,546
457	Hamatora The Animation							7.40	187,439
458	Overlord III								8.24	187,341
459	Evangelion: 3.0 You Can (Not) Redo					7.63	187,018
460	Tamako Market								7.38	186,936
461	Afro Samurai								7.40	186,621
462	Densetsu no Yuusha no Densetsu						7.75	186,445
463	ef: A Tale of Memories.							8.04	186,174
464	Acchi Kocchi (TV)							7.60	185,134
465	Stranger: Mukou Hadan							8.38	184,703
466	Madan no Ou to Vanadis							7.30	184,607
467	Kotoura-san								7.35	184,541
468	Highschool of the Dead: Drifters of the Dead				6.75	184,004
469	Saiki Kusuo no Ψ-nan							8.56	183,816
470	Bakemono no Ko								8.48	183,717
471	Aho Girl								7.21	183,487
472	Little Busters!								7.61	182,259
473	Citrus									6.81	182,216
474	Space☆Dandy								7.88	182,182
475	Boruto: Naruto the Movie						7.83	181,880
476	Tanaka-kun wa Itsumo Kedaruge						8.02	181,769
477	Bleach Movie 1: Memories of Nobody					7.55	181,375
478	Kiss x Sis								7.17	181,123
479	Nyan Koi!								7.31	180,910
480	K: Return of Kings							7.77	179,203
481	Hetalia Axis Powers							7.66	179,171
482	Amnesia									6.32	179,067
483	Angel Beats! Specials							7.73	178,404
484	Hajimete no Gal								6.51	178,067
485	Shijou Saikyou no Deshi Kenichi						8.21	177,498
486	Itazura na Kiss								7.69	177,179
487	Ga-Rei: Zero								7.71	176,894
488	Darker than Black: Kuro no Keiyakusha Gaiden				8.04	175,834
489	Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen			8.78	174,936
490	Akuma no Riddle								6.77	174,930
491	Sword Art Online: Extra Edition						6.85	174,422
492	Magi: Sinbad no Bouken (TV)						8.11	174,253
493	Persona 4 the Animation							7.61	174,098
494	Shingeki no Kyojin: Kuinaki Sentaku					8.42	173,871
495	Death March kara Hajimaru Isekai Kyousoukyoku				6.87	173,103
496	Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen			7.96	172,332
497	Shelter									8.41	172,183
498	Shinmai Maou no Testament Burst						7.12	171,670
499	Blood-C									6.70	171,366
500	Sword Art Online: Alicization						8.20	170,898
501	Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashi...	7.03	170,801
502	Skip Beat!								8.23	170,693
503	Saijaku Muhai no Bahamut						6.86	170,659
504	Dragon Ball Kai								7.90	170,634
505	11eyes									6.37	170,583
506	The Last: Naruto the Movie						7.88	170,468
507	Isekai wa Smartphone to Tomo ni.					6.77	170,406
508	Hundred									6.57	170,120
509	Chrno Crusade								7.75	169,845
510	Tokyo Magnitude 8.0							8.15	169,649
511	Kekkai Sensen &amp;amp; Beyond						8.06	169,581
512	Maji de Watashi ni Koi Shinasai!					6.95	169,174
513	Angel Beats!: Another Epilogue						7.59	168,940
514	Redline									8.32	168,809
515	Nurarihyon no Mago							7.74	168,760
516	Shakugan no Shana III (Final)						7.66	168,401
517	Nejimaki Seirei Senki: Tenkyou no Alderamin				7.87	168,392
518	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Swo...	7.11	168,155
519	Gin no Saji								8.15	167,836
520	Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii d...	7.84	167,709
521	Hachimitsu to Clover							8.13	167,426
522	Kamisama no Memochou							7.63	167,405
523	Megalo Box								8.10	167,228
524	Oniichan dakedo Ai sae Areba Kankeinai yo ne!				6.70	167,173
525	Noragami OVA								7.89	166,921
526	MM!									7.27	165,985
527	Detective Conan								8.25	165,631
528	Golden Boy								8.04	165,081
529	Final Fantasy VII: Advent Children					7.87	164,113
530	Working&amp;#039;!!							7.95	163,979
531	Tsubasa Chronicle							7.63	163,919
532	Renai Boukun								6.89	163,909
533	Koi to Uso								6.79	162,948
534	Fate/stay night: Unlimited Blade Works - Prologue			8.22	162,492
535	Quanzhi Gaoshou								8.09	162,304
536	Taimadou Gakuen 35 Shiken Shoutai					7.04	161,642
537	Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinma...	7.55	161,507
538	Kanokon									6.64	161,461
539	Hinamatsuri								8.35	161,360
540	Berserk									6.68	161,339
541	Mangaka-san to Assistant-san to The Animation				7.31	161,131
542	Amaama to Inazuma							7.56	161,002
543	Mahoutsukai no Yome: Hoshi Matsu Hito					8.24	160,408
544	Sidonia no Kishi							7.79	160,379
545	Goblin Slayer								7.72	160,242
546	Seiken Tsukai no World Break						7.14	160,053
547	World Trigger								7.67	160,026
548	Gyakkyou Burai Kaiji: Ultimate Survivor					8.32	159,783
549	K-On! Movie								8.34	159,415
550	Omamori Himari								7.10	159,393
551	Haibane Renmei								8.03	159,242
552	Isekai Maou to Shoukan Shoujo no Dorei Majutsu				7.32	159,064
553	Ping Pong The Animation							8.64	158,834
554	Hayate no Gotoku!							7.69	158,471
555	Hataraku Saibou								7.90	158,038
556	Bokura ga Ita								7.45	157,938
557	Kamisama no Inai Nichiyoubi						7.46	157,762
558	Ghost Hunt								7.91	157,656
559	Diabolik Lovers								5.69	157,500
560	Juuni Taisen								6.68	157,225
561	Binbougami ga!								7.82	156,818
562	Soredemo Sekai wa Utsukushii						7.79	156,775
563	Girls &amp;amp; Panzer							7.64	156,433
564	Taboo Tattoo								5.97	155,977
565	Mayoiga									5.64	155,973
566	Houseki no Kuni								8.46	155,924
567	Kizumonogatari II: Nekketsu-hen						8.68	155,891
568	Ghost in the Shell: Stand Alone Complex 2nd GIG				8.54	155,889
569	Kino no Tabi: The Beautiful World					8.42	155,652
570	Karakai Jouzu no Takagi-san						7.91	155,574
571	Watashi ga Motete Dousunda						7.39	155,280
572	Dance in the Vampire Bund						7.16	155,122
573	Mushishi Zoku Shou							8.76	155,105
574	Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!	7.17	154,895
575	Flying Witch								7.60	154,591
576	Witch Craft Works							7.19	154,572
577	One Punch Man: Road to Hero						7.83	154,321
578	Canaan									7.35	154,221
579	Medaka Box								7.16	154,159
580	Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen		7.64	154,154
581	Umineko no Naku Koro ni							7.26	153,939
582	Sakura Trick								7.14	153,839
583	Fate/kaleid liner Prisma☆Illya						7.23	153,696
584	Zoku Natsume Yuujinchou							8.62	153,455
585	Sekirei: Pure Engagement						7.52	153,045
586	Ao no Exorcist Movie							7.80	152,832
587	07-Ghost								7.35	152,516
588	Mirai Nikki OVA								7.46	152,502
589	Maken-Ki!								6.61	152,287
590	Rozen Maiden								7.53	151,951
591	Digimon Adventure 02							7.34	151,558
592	Junjou Romantica							7.97	151,429
593	Shouwa Genroku Rakugo Shinjuu						8.62	151,424
